,title,release_date,worldwide_box_office,international_box_office,domestic_box_office
7039,Urge-2016-06-03,2016-06-03,"48006,00","48006,00",
7040,We Bare Bears: The Movie-2018-05-24,2018-05-24,"112317,00","112317,00",
7041,Nobili bugie-2018-05-24,2018-05-24,"372939,00","372939,00",
7042,El ÃƒÂ¡ngel en el reloj-2018-05-25,2018-05-25,"134124,00","134124,00",
7043,Khejdi-2018-05-24,2018-05-24,,,
7044,Seosangaecheokdan-2018-05-24,2018-05-24,"38525,00","38525,00",
7045,Hotel Gagarin-2018-05-24,2018-05-24,"434180,00","434180,00",
7046,Ryuichi Sakamoto: Coda-2018-07-06,2018-07-06,"978586,00","861126,00","117460,00"
7047,Le ciel ÃƒÂ©toilÃƒÂ© au-dessus de ma tÃƒÂªte-2018-05-23,2018-05-23,"38891,00","38891,00",
7048,Brainious-2018-05-23,2018-05-23,"38051,00","38051,00",
7049,Zoo Wars-2018-05-22,2018-05-22,,,
7050,Solo: A Star Wars Story-2018-05-25,2018-05-25,"393151347,00","179383835,00","213767512,00"
7051,Gupyoshka-2018-05-24,2018-05-24,"2952,00","2952,00",
7052,Godspeed-The Race Across America-2018-05-22,2018-05-22,,,
7053,Welcome to the MenÃ¢â‚¬â„¢s Group-2018-05-18,2018-05-18,,,
7054,Undir trÃƒÂ©nu-2018-07-06,2018-07-06,"331246,00","263650,00","67596,00"
7055,El ÃƒÂºltimo invierno-2018-05-18,2018-05-18,"1312,00","1312,00",
7056,Udanchhoo-2018-05-18,2018-05-18,"178,00","178,00",
7057,Dokjeon-2018-06-08,2018-06-08,"39013100,00","38647461,00","365639,00"
7058,Tian Xia Fu Mu-2018-05-18,2018-05-18,"26334,00","26334,00",
7059,Swagger of Thieves-2018-05-18,2018-05-18,"14502,00","14502,00",
7060,Slender Man-2018-01.01,2018-01.01,"51945949,00","21381124,00","30564825,00"
7061,That Summer-2018-05-18,2018-05-18,"44666,00","10110,00","34556,00"
7062,Le secret de la chambre noire-2018-05-18,2018-05-18,"1065,00","1065,00",
7063,Sharon 1.2.3-2018-05-18,2018-05-18,,,
7064,Royal Opera House Live: Dream/Symphonic Variations/Marguerite & Armand-2017-06-02,2017-06-02,"427366,00","427366,00",
7065,Vincent n Roxxy-2017-06-02,2017-06-02,,,
7066,A Death In The Gunj-2017-06-03,2017-06-03,"153683,00","153683,00",
7067,Dear Maya-2017-06-03,2017-06-03,"28968,00","28968,00",
7068,Red Army Primary School-2017-06-02,2017-06-02,"30652,00","30652,00",
7069,The Recall-2017-06-02,2017-06-02,,,"22233,00"
7070,Polar star-2017-06-02,2017-06-02,"5726,00","5726,00",
7071,Opening Night-2017-06-02,2017-06-02,,,
7072,Rakshadhikari Baiju-Oppu-2017-06-02,2017-06-02,"2909,00","2909,00",
7073,Past Life-2017-06-02,2017-06-02,"205212,00","25113,00","180099,00"
7074,El Pastor-2017-06-02,2017-06-02,"2328,00","2328,00",
7075,Nur eta herensugearen tenplua-2017-06-02,2017-06-02,"43846,00","43846,00",
7076,Nefrin-2017-06-02,2017-06-02,"9694,00","9694,00",
7077,Mil coses que faria per tu-2017-06-02,2017-06-02,"55156,00","55156,00",
7078,McLaren-2017-06-02,2017-06-02,"638602,00","638602,00",
7079,Mei Hao De Yi Wai-2017-06-09,2017-06-09,"2632086,00","2580320,00","51766,00"
7080,Marie-Francine-2017-06-02,2017-06-02,"7026711,00","7026711,00",
7081,"Lou Andreas-SalomÃƒÂ©, The Audacity to be Free-2017-04-20",2017-04-20,"454142,00","441267,00","12875,00"
7082,Kung Fu Bunny Man-2017-06-02,2017-06-02,"202104,00","202104,00",
7083,The Mummy-2017-06-09,2017-06-09,"409953905,00","329852780,00","80101125,00"
7084,El pÃƒÂ¡ramo-2015-01.01,2015-01.01,"3866,00","3866,00",
7085,"Love, Kennedy-2017-06-02",2017-06-02,,,"407871,00"
7086,Kill Switch-2017-06-16,2017-06-16,"163348,00","163348,00",
7087,Lawrence & Holloman-2015-01.01,2015-01.01,,,
7088,Jattu Engineer-2017-06-02,2017-06-02,"10234,00","10234,00",
7089,Nihon no ichiban nagai hi ketteiban-2015-01.01,2015-01.01,"10030622,00","10030622,00",
7090,Kahlil Gibran's The Prophet-2015-01.01,2015-01.01,"1080362,00","739826,00","340536,00"
7091,I nostri ragazzi-2015-01.01,2015-01.01,"59576,00","51522,00","8054,00"
7092,A Doctor's Sword-2015-01.01,2015-01.01,"6184,00","6184,00",
7093,Harbinger Down-2015-01.01,2015-01.01,"60420,00","60420,00",
7094,God Bless the Child-2015-01.01,2015-01.01,,,
7095,Jaanisaar-2015-01.01,2015-01.01,"1898,00","1898,00",
7096,Gekijouban Kamen raidÃƒÂ¢ Doraibu: Sapuraizu fyÃƒÂ»chÃƒÂ¢-2015-01.01,2015-01.01,"7118376,00","7118376,00",
7097,The Diary of a Teenage Girl-2015-01.01,2015-01.01,"2279959,00","802957,00","1477002,00"
7098,Cop Car-2015-01.01,2015-01.01,"143658,00","9106,00","134552,00"
7099,Catch Me Daddy-2015-01.01,2015-01.01,,,
7100,Call Me Lucky-2015-01.01,2015-01.01,,,
7101,Death of a Gentleman-2015-01.01,2015-01.01,"60053,00","60053,00",
7102,Bu Bu Jing Xin-2015-01.01,2015-01.01,"4430000,00","4430000,00",
7103,Barbie in Rock'n Royals-2015-01.01,2015-01.01,"2695851,00","2695851,00",
7104,La dame dans lÃ¢â‚¬â„¢auto avec des lunettes et un fusil-2015-12-18,2015-12-18,"328776,00","326609,00","2167,00"
7105,L'apÃƒÂ´tre-2015-01.01,2015-01.01,"20120,00","20120,00",
7106,Yi Lu Xiang Qian-2015-01.01,2015-01.01,"300000,00","300000,00",
7107,"PolÃƒÂ­tica, manual de instrucciones-2016-06-03",2016-06-03,"91689,00","91689,00",
7108,To the Fore-2015-01.01,2015-01.01,"24745722,00","24745722,00",
7109,L'origine de la violence-2016-06-03,2016-06-03,"427073,00","427073,00",
7110,Kwai Boo-2015-01.01,2015-01.01,"8550000,00","8550000,00",
7111,Out of Print-2016-06-03,2016-06-03,,,
7112,Nuestros amantes-2016-06-03,2016-06-03,"497535,00","497535,00",
7113,Lulu-2016-06-03,2016-06-03,"8432,00","8432,00",
7114,O Outro Lado do ParaÃƒÂ­so-2016-06-03,2016-06-03,"7527,00","7527,00",
7115,Memento Mori-2016-06-03,2016-06-03,"523945,00","523945,00",
7116,Met Opera: Madama Butterfly-2016-06-03,2016-06-03,"128237,00","128237,00",
7117,Love Me Tomorrow-2016-06-03,2016-06-03,"29159,00","29159,00",
7118,KÃƒÂ´daike no hitobito-2016-06-03,2016-06-03,"6978689,00","6978689,00",
7119,Jak uratowac mame-2016-06-03,2016-06-03,"68574,00","68574,00",
7120,Kochaj!-2016-06-03,2016-06-03,"708787,00","708787,00",
7121,Is This the Real World-2016-06-03,2016-06-03,"2256,00","2256,00",
7122,Iraivi-2016-06-03,2016-06-03,"42540,00","42540,00",
7123,Housefull 3-2016-06-03,2016-06-03,"2237748,00","910749,00","1326999,00"
7124,Honeyglue-2016-06-03,2016-06-03,,,
7125,The Greenstone-2016-06-03,2016-06-03,"9803,00","9803,00",
7126,Il solengo-2016-06-03,2016-06-03,"1946,00","1946,00",
7127,Gurukulam-2016-06-03,2016-06-03,,,
7128,The God Cells-2016-06-03,2016-06-03,,,
7129,The Royal Wedding Of Hrh Prince Harry & Miss Meghan Markle-2018-05-18,2018-05-18,"25379,00","25379,00",
7130,Flora and Fauna's War-2016-06-03,2016-06-03,"218568,00","218568,00",
7131,Pope FrancisÃ¢â‚¬â€A Man of His Word-2018-05-18,2018-05-18,"8505755,00","6497370,00","2008385,00"
7132,O Processo-2018-05-18,2018-05-18,"136695,00","136695,00",
7133,Oscar Shorts-2018-05-18,2018-05-18,"8776,00","8776,00",
7134,Qin Zei Xian Qin Wang-2018-05-18,2018-05-18,"18824,00","18824,00",
7135,Nomitori samurai-2018-05-18,2018-05-18,"3524012,00","3524012,00",
7136,"Natacha, la pelicula-2018-05-18",2018-05-18,"77248,00","77248,00",
7137,NÃƒÂ£o Consegues Criar o Mundo Duas Vezes-2018-05-18,2018-05-18,"662,00","662,00",
7138,The Most Unknown-2018-05-18,2018-05-18,,,"12119,00"
7139,MezarlÃ„Â±k-2018-05-18,2018-05-18,"8696,00","8696,00",
7140,The Lullaby-2018-05-18,2018-05-18,"199336,00","199336,00",
7141,Las Vegas-2018-05-18,2018-05-18,"9373,00","9373,00",
7142,Lu Guo Wei Lai-2018-05-18,2018-05-18,"387766,00","387766,00",
7143,Kaali-2018-05-18,2018-05-18,"4687,00","4687,00",
7144,Kiraz Mevsimi-2018-05-18,2018-05-18,"5745,00","5745,00",
7145,Huang Cheng Ji-2018-05-18,2018-05-18,"212590,00","212590,00",
7146,Huang Fei Hong Zhi Sheng Hua Ren-2018-05-18,2018-05-18,,,
7147,El Hombre que mato a Don Quijote-2018-04-10,2018-04-10,"2454089,00","2062126,00","391963,00"
7148,En guerre-2018-07-19,2018-07-19,"2219877,00","2215272,00","4605,00"
7149,The Hollow Child-2018-05-18,2018-05-18,"290473,00","290473,00",
7150,Gray Matter-2018-05-18,2018-05-18,,,"38034,00"
7151,First Reformed-2018-05-18,2018-05-18,"3988612,00","540356,00","3448256,00"
7152,The Incomparable Rose Hartman-2017-06-02,2017-06-02,,,
7153,Edie-2018-09-06,2018-09-06,"2893451,00","2821661,00","71790,00"
7154,Harjeeta-2018-05-18,2018-05-18,"118795,00","118795,00",
7155,Hana ikusa-2017-06-02,2017-06-02,"4696006,00","4696006,00",
7156,FirstBorn-2017-06-02,2017-06-02,"78730,00","78730,00",
7157,The Exception-2017-06-02,2017-06-02,"834580,00","125608,00","708972,00"
7158,DrÃƒÂ´les d'oiseaux-2017-06-02,2017-06-02,"28874,00","28874,00",
7159,Glyndebourne: La Traviata-2017-06-02,2017-06-02,"87521,00","87521,00",
7160,Como la Espuma-2017-06-02,2017-06-02,"18883,00","18883,00",
7161,Dean-2017-06-02,2017-06-02,,,"254536,00"
7162,Dobaara: See Your Evil-2017-06-02,2017-06-02,"190762,00","190762,00",
7163,Cinebasura: la pelicula-2017-06-02,2017-06-02,"1653,00","1653,00",
7164,British Museum Presents: Hokusai-2017-06-02,2017-06-02,"225122,00","225122,00",
7165,Captain Underpants: The First Epic Movie-2017-06-02,2017-06-02,"126422949,00","52501949,00","73921000,00"
7166,Bir Damla AÃ…Å¸k-2017-06-02,2017-06-02,"8965,00","8965,00",
7167,Band Aid-2017-06-02,2017-06-02,,,"248370,00"
7168,Amor.com-2017-06-02,2017-06-02,"295052,00","295052,00",
7169,Bambaska-2017-06-02,2017-06-02,"2912,00","2912,00",
7170,LÃ¢â‚¬â„¢amant dÃ¢â‚¬â„¢un jour-2017-01-12,2017-01-12,"356358,00","356358,00",
7171,Dark Signal-2017-06-02,2017-06-02,,,
7172,All About the Money-2017-06-02,2017-06-02,,,
7173,Convicted-2017-06-01,2017-06-01,,,
7174,Broers-2017-06-01,2017-06-01,"76217,00","76217,00",
7175,BeiburÃ„â€œdo bÃ„ï¿½suto goddo-2017-05-25,2017-05-25,"721511,00","721511,00",
7176,Globe On Screen: Comedy of Errors-2015-01.01,2015-01.01,"111585,00","111585,00",
7177,AaronÃ¢â‚¬â„¢s Blood-2017-06-02,2017-06-02,,,
7178,Nelyubov-2017-02-16,2017-02-16,"4885296,00","4321223,00","564073,00"
7179,Amazonia-2015-01.01,2015-01.01,"2286687,00","2286687,00",
7180,About a Girl-2015-01.01,2015-01.01,"148293,00","148293,00",
7181,The 33-2015-11-13,2015-11-13,"28287489,00","16059767,00","12227722,00"
7182,The Gift-2015-01.01,2015-01.01,"58978477,00","15191212,00","43787265,00"
7183,Veteran-2015-01.01,2015-01.01,"90498430,00","89342778,00","1155652,00"
7184,Fantastic Four-2015-01.01,2015-01.01,"167849187,00","111731639,00","56117548,00"
7185,Me and My Mates vs. The Zombie Apocalypse-2015-01.01,2015-01.01,"9372,00","9372,00",
7186,Xuan Yuan Jian Zhuan Qi-2015-01.01,2015-01.01,"190000,00","190000,00",
7187,Uklad zamkniety-2015-07-31,2015-07-31,"942,00","942,00",
7188,Hei Mao Jing Zhang Zhi Fei Cui Zhi Xing-2015-01.01,2015-01.01,"10849131,00","10849131,00",
7189,YalomÃ¢â‚¬â„¢s Cure-2015-03-11,2015-03-11,"42193,00","41029,00","1164,00"
7190,"Les trois frÃƒÂ¨res, le retour-2015-07-31",2015-07-31,"44590,00","44590,00",
7191,The Cocksure Lads Movie-2015-01.01,2015-01.01,,,
7192,Shingeki no kyojin-2015-09-30,2015-09-30,"28528388,00","28269594,00","258794,00"
7193,La religieuse-2015-07-31,2015-07-31,"14556,00","14556,00",
7194,Remembering Nigel-2015-07-31,2015-07-31,,,
7195,My Accomplice-2015-07-31,2015-07-31,"796,00","796,00",
7196,Neko zamurai: Minami no shima e iku-2015-07-31,2015-07-31,"21782,00","21782,00",
7197,O PÃƒÂ¡tio das Cantigas-2015-07-31,2015-07-31,"3462621,00","3462621,00",
7198,Mei Ren Yu Zhi Hai Dao Lai Xi-2015-07-31,2015-07-31,"2435535,00","2435535,00",
7199,Kristy-2015-07-31,2015-07-31,"174843,00","174843,00",
7200,Kong Bu You Yong Guan-2015-07-31,2015-07-31,"100000,00","100000,00",
7201,The Death Game-2016-06-03,2016-06-03,"825882,00","825882,00",
7202,JennyÃ¢â‚¬â„¢s Wedding-2015-07-31,2015-07-31,"25884,00","22344,00","3540,00"
7203,Fatima-2016-01.01,2016-01.01,"188683,00","138578,00","50105,00"
7204,Dragon Warrior: Compass of Astral Seal-2016-06-03,2016-06-03,"936612,00","936612,00",
7205,The Fits-2016-06-03,2016-06-03,"169242,00","2817,00","166425,00"
7206,Crespo-2016-06-03,2016-06-03,"216,00","216,00",
7207,Campo Grande-2016-06-03,2016-06-03,"5852,00","5852,00",
7208,Chasing Yesterday-2016-06-03,2016-06-03,,,
7209,Breaking the Bank-2016-06-03,2016-06-03,"4773,00","4773,00",
7210,Art Bastard-2016-06-03,2016-06-03,,,"19600,00"
7211,BÃƒÂ³g w Krakowie-2016-06-03,2016-06-03,"73579,00","73579,00",
7212,Arama Motoru-2016-06-03,2016-06-03,"5215,00","5215,00",
7213,ATM-2016-06-03,2016-06-03,"15056,00","15056,00",
7214,Approaching the Unknown-2016-06-03,2016-06-03,,,"10232,00"
7215,AndronÃ¢â‚¬â€The Black Labyrinth-2016-06-03,2016-06-03,,,
7216,ZkÃƒÂ¡za krÃƒÂ¡sou-2016-06-02,2016-06-02,"3504,00","3504,00",
7217,Acantilado-2016-06-03,2016-06-03,"95962,00","95962,00",
7218,Zen for Nothing-2016-03-29,2016-03-29,,,"12107,00"
7219,Yang chi gi deul-2016-06-02,2016-06-02,"46390,00","46390,00",
7220,Wolf Mother-2016-06-02,2016-06-02,,,
7221,Octonauts Season 4-2016-06-02,2016-06-02,"429786,00","429786,00",
7222,Ma vie de Courgette-2016-02-24,2016-02-24,"10245743,00","9935975,00","309768,00"
7223,Dive-2018-05-18,2018-05-18,"1012,00","1012,00",
7224,Deda-2016-06-02,2016-06-02,"41854,00","41854,00",
7225,Teenage Mutant Ninja Turtles: Out of the Shadows-2016-06-03,2016-06-03,"245328374,00","163276773,00","82051601,00"
7226,Dhogs-2018-05-18,2018-05-18,"26044,00","26044,00",
7227,Dark Crimes-2018-05-18,2018-05-18,"27672,00","27672,00",
7228,The Cleaners-2018-05-18,2018-05-18,"50984,00","50984,00",
7229,Cuba-2018-05-18,2018-05-18,,,
7230,Citizen Lane-2018-05-18,2018-05-18,"6306,00","6306,00",
7231,The Curie Case-2018-05-18,2018-05-18,"2656,00","2656,00",
7232,Carter & June-2018-05-18,2018-05-18,,,
7233,The Cause of Progress-2018-05-18,2018-05-18,"19369,00","19369,00",
7234,Bruno Motoneta-2018-05-18,2018-05-18,"8169,00","8169,00",
7235,Blue Planet II: One Ocean and The Deep-2018-05-18,2018-05-18,"205531,00","205531,00",
7236,Bal Kaymak-2018-05-18,2018-05-18,"161439,00","161439,00",
7237,Book Club-2018-05-18,2018-05-18,"91328463,00","22762167,00","68566296,00"
7238,3 vakte kadar-2018-05-18,2018-05-18,"1964,00","1964,00",
7239,El ataÃƒÂºd de cristal-2018-05-18,2018-05-18,"1104,00","1104,00",
7240,Dogman-2018-04-12,2018-04-12,"4931690,00","4783465,00","148225,00"
7241,Caravaggio - L'anima e il sangue-2018-05-17,2018-05-17,"108324,00","108324,00",
7242,The March for the Lost-2018-05-16,2018-05-16,"125391,00","125391,00",
7243,DÃƒÂ i wÃ‡â€™ qÃƒÂ¹ yuÃƒÂ¨ qiÃƒÂº-2018-05-16,2018-05-16,"775700,00","775700,00",
7244,Happi awa 5-2018-05-16,2018-05-16,"73255,00","73255,00",
7245,Ronaldo vs Messi-2018-05-17,2018-05-17,"25859,00","25859,00",
7246,Turn it Around: The Story of East Bay Punk-2017-05-31,2017-05-31,,,"69787,00"
7247,Beoning-2018-10-26,2018-10-26,"8127489,00","7407717,00","719772,00"
7248,Wonders of the Sea 3D-2018-01-17,2018-01-17,"178885,00","178885,00",
7249,The Rush Chairman-2017-05-31,2017-05-31,,,
7250,Falling in Love-2017-05-31,2017-05-31,"1270000,00","1270000,00",
7251,Be Afraid-2017-06-01,2017-06-01,"106202,00","106202,00",
7252,I Figli Della Notte-2017-05-31,2017-05-31,"42468,00","42468,00",
7253,La Chana-2017-05-31,2017-05-31,"57747,00","57747,00",
7254,Angst-2017-05-30,2017-05-30,,,
7255,My King My Father-2017-05-27,2017-05-27,"2280212,00","2280212,00",
7256,La Historia De Un Amor-2017-05-27,2017-05-27,"1890232,00","1890232,00",
7257,Edge of Innocence-2017-05-27,2017-05-27,"1369687,00","1369687,00",
7258,Wonder Woman-2017-06-02,2017-06-02,"818058221,00","405494813,00","412563408,00"
7259,DiDi's Dreams-2017-06-02,2017-06-02,"4013033,00","4013033,00",
7260,A Wound in Time-2017-05-30,2017-05-30,,,
7261,YarÃ„Â±nÃ„Â±n AdÃ„Â± BaÃ…Å¸ka-2017-05-26,2017-05-26,"1120,00","1120,00",
7262,Thondan-2017-05-26,2017-05-26,"2204,00","2204,00",
7263,Thodi Thodi Si Manmaaniyan-2017-05-26,2017-05-26,"9105,00","9105,00",
7264,War Machine-2017-05-26,2017-05-26,,,
7265,Sinsiran: Yasak AÃ…Å¸k-2017-05-26,2017-05-26,"55061,00","55061,00",
7266,Spirit Game: Pride of a Nation-2017-05-26,2017-05-26,,,
7267,Saab Bahadar-2017-05-26,2017-05-26,"134636,00","134636,00",
7268,Sachin-2017-05-26,2017-05-26,"6630190,00","6630190,00",
7269,Rodin-2017-06-01,2017-06-01,"2361921,00","2325201,00","36720,00"
7270,The End of the Tour-2015-07-31,2015-07-31,"3114343,00","111460,00","3002883,00"
7271,Extinction-2015-07-31,2015-07-31,"2350695,00","2350695,00",
7272,Drishyam-2015-07-31,2015-07-31,"174159,00","174159,00",
7273,Destiny-2015-07-31,2015-07-31,"450,00","450,00",
7274,Darbe-2015-07-31,2015-07-31,"66145,00","66145,00",
7275,Bonobos-2015-07-31,2015-07-31,,,
7276,Les chaises musicales-2015-07-31,2015-07-31,"204466,00","204466,00",
7277,Counting-2015-07-31,2015-07-31,,,"8374,00"
7278,Bon rÃƒÂ©tablissement!-2015-07-31,2015-07-31,"123733,00","123733,00",
7279,After School Special-2017-05-30,2017-05-30,,,
7280,Sheng Si Lian-2015-07-30,2015-07-30,"7101276,00","7101276,00",
7281,Bangistan-2015-07-31,2015-07-31,"876643,00","827949,00","48694,00"
7282,Angrej-2015-07-31,2015-07-31,"667158,00","667158,00",
7283,Beyond the Brick: A LEGO Brickumentary-2015-07-31,2015-07-31,,,"101531,00"
7284,Love Heaw Feaw Tott-2015-07-30,2015-07-30,,,
7285,Go-nyeo-seok Mat-na-get-da2 : Ham-kke-ra-seo Hang-bok-hae-2015-07-30,2015-07-30,"178126,00","178126,00",
7286,Bou Chau Mai Sing-2015-07-31,2015-07-31,"24405298,00","24373245,00","32053,00"
7287,1965-2015-07-30,2015-07-30,,,
7288,Sheng Tang Wei Ji-2015-07-29,2015-07-29,"19305207,00","19305207,00",
7289,Vacation-2015-07-29,2015-07-29,"102306500,00","43422312,00","58884188,00"
7290,The Little Prince-2015-02-12,2015-02-12,"102028919,00","100717706,00","1311213,00"
7291,Wildlike-2015-07-25,2015-07-25,,,
7292,Mooseowon Iyagi 3: Hwasungeseo On Sonyeo-2016-06-01,2016-06-01,"707596,00","707596,00",
7293,Listen to Me Marlon-2015-07-29,2015-07-29,"517793,00","91663,00","426130,00"
7294,Mission: ImpossibleÃ¢â‚¬â€Rogue Nation-2015-07-31,2015-07-31,"688858992,00","493816615,00","195042377,00"
7295,Miami Beach-2016-06-01,2016-06-01,"848948,00","848948,00",
7296,Masaan-2016-06-01,2016-06-01,"237713,00","237713,00",
7297,Me Before You-2016-06-03,2016-06-03,"208064908,00","151819833,00","56245075,00"
7298,Fruit Story-2016-06-01,2016-06-01,"585388,00","585388,00",
7299,Moos-2016-05-29,2016-05-29,,,
7300,A Aa-2016-06-01,2016-06-01,,,"2313043,00"
7301,Behind the Face-2016-05-31,2016-05-31,,,
7302,Witch Doctor-2016-05-27,2016-05-27,"1318983,00","1318983,00",
7303,Jungle Master : the Candy World-2016-05-28,2016-05-28,"740000,00","740000,00",
7304,Valliyum Thetti Pulliyum Thetti-2016-05-27,2016-05-27,"2974,00","2974,00",
7305,Uma Noite em Sampa-2016-05-27,2016-05-27,"5688,00","5688,00",
7306,Tickled-2016-06-17,2016-06-17,"1025945,00","411989,00","613956,00"
7307,Le voyage de Fanny-2016-05-27,2016-05-27,"1072384,00","1072384,00",
7308,Strike a Pose-2016-01-18,2016-01-18,"102677,00","102677,00",
7309,Streetdance Family-2016-05-27,2016-05-27,"148,00","148,00",
7310,Shan de na bian you pi ma-2016-05-27,2016-05-27,"40416,00","40416,00",
7311,Self Redemption-2016-05-27,2016-05-27,"5792,00","5792,00",
7312,"SÃƒÂ£o SebastiÃƒÂ£o do Rio de Janeiro, a FormaÃƒÂ§ÃƒÂ£o de uma Cidade-2016-05-27",2016-05-27,"4001,00","4001,00",
7313,Star Ant - Global Adventure-2016-05-27,2016-05-27,"164460,00","164460,00",
7314,The Romans-2016-05-27,2016-05-27,,,"19705,00"
7315,A Remarkable Life-2016-05-27,2016-05-27,,,
7316,Quell'estate-2016-05-27,2016-05-27,"3208,00","3208,00",
7317,Saadey CM Saab-2016-05-27,2016-05-27,"47488,00","47488,00",
7318,5.18 Hinzpeter Story-2018-05-16,2018-05-16,"65807,00","65807,00",
7319,How Long Will I Love U-2018-05-25,2018-05-25,"133650584,00","132903651,00","746933,00"
7320,"Dear, I Will Marry To Others-2018-05-12",2018-05-12,"210000,00","210000,00",
7321,Gu Zhen Hua Qing-2018-05-12,2018-05-12,"3050000,00","3050000,00",
7322,Wo Shi Ni Ma-2018-05-11,2018-05-11,"5748970,00","5748970,00",
7323,Witness of another world-2018-05-11,2018-05-11,"25396,00","25396,00",
7324,You'll Never Walk Alone-2018-05-11,2018-05-11,"45997,00","45997,00",
7325,What Haunts Us-2018-05-11,2018-05-11,,,
7326,Warren Miller's Line of Descent-2018-05-11,2018-05-11,"136258,00","136258,00",
7327,Tutsak-2018-05-11,2018-05-11,"5095,00","5095,00",
7328,Vermelho Russo-2018-05-11,2018-05-11,"817,00","817,00",
7329,Tian Meng-2018-05-11,2018-05-11,"5178,00","5178,00",
7330,That Good Night-2018-05-11,2018-05-11,"79562,00","79562,00",
7331,Show Dogs-2018-05-18,2018-05-18,"40014998,00","22270313,00","17744685,00"
7332,Le Semeur-2018-03-01,2018-03-01,"413378,00","377145,00","36233,00"
7333,The Seagull-2018-05-11,2018-05-11,"1841656,00","588696,00","1252960,00"
7334,Terminal-2018-05-11,2018-05-11,"626799,00","626799,00",
7335,SollerÃ¢â‚¬â„¢s Point-2018-05-11,2018-05-11,,,"32608,00"
7336,Revolution X: The Movie-2018-05-11,2018-05-11,"264676,00","264676,00",
7337,"Saraba seishun, saredo seishun-2018-05-11",2018-05-11,"3762474,00","3762474,00",
7338,Raazi-2018-05-11,2018-05-11,"737831,00","737831,00",
7339,Raffaello: Il Principe delle Arti - in 3D-2017-05-26,2017-05-26,"72820,00","72820,00",
7340,Por Onde Escapam as Palavras-2017-05-26,2017-05-26,"4168,00","4168,00",
7341,La muerte no duele-2017-05-26,2017-05-26,"1882,00","1882,00",
7342,La memoria de los huesos-2017-05-26,2017-05-26,"2223,00","2223,00",
7343,"Real, o plano por trÃƒÂ¡s da histÃƒÂ³ria-2017-05-26",2017-05-26,"161911,00","161911,00",
7344,Long Strange Trip: The Untold Story of the Grateful Dead-2017-05-25,2017-05-25,,,"351957,00"
7345,Madraza-2017-05-26,2017-05-26,"32271,00","32271,00",
7346,Respirar-2018-05-11,2018-05-11,"2400,00","2400,00",
7347,Kazoku wa Tsuraiyo 2-2017-05-26,2017-05-26,"5837844,00","5837844,00",
7348,La Scala: The Thieving Magpie-2017-05-26,2017-05-26,"7067,00","7067,00",
7349,Katre-2017-05-26,2017-05-26,"1712,00","1712,00",
7350,Isoken-2017-05-26,2017-05-26,"15837,00","15837,00",
7351,Interlude in Prague-2017-05-26,2017-05-26,"14717,00","14717,00",
7352,Hjartasteinn-2017-09-29,2017-09-29,"47161,00","47161,00",
7353,It Was 50 Years Ago Today! The Beatles: Sgt. Pepper & Beyond-2017-05-26,2017-05-26,"203505,00","203505,00",
7354,Hermia & Helena-2017-05-26,2017-05-26,"44136,00","1004,00","43132,00"
7355,The Helsings-2017-05-26,2017-05-26,,,"478,00"
7356,Gui Yi Jiu Lou-2017-05-26,2017-05-26,"30000,00","30000,00",
7357,Godha-2017-05-26,2017-05-26,"3644,00","3644,00",
7358,God of War-2017-06-02,2017-06-02,"9560020,00","9506524,00","53496,00"
7359,The Hippopotamus-2017-06-15,2017-06-15,"273502,00","273502,00",
7360,Tong Ling Zhi Liu Shi Gu Zhai-2015-07-24,2015-07-24,"2180000,00","2180000,00",
7361,Rarandoi Veduka Chudham-2017-05-26,2017-05-26,"46176,00","46176,00",
7362,SÃƒÂ³lo quÃƒÂ­mica-2015-07-24,2015-07-24,"404637,00","404637,00",
7363,Smosh: The Movie-2015-07-24,2015-07-24,,,
7364,Unexpected-2015-07-24,2015-07-24,,,
7365,Some Kind of Beautiful-2015-01.01,2015-01.01,"1834498,00","1834498,00",
7366,The Outrageous Sophie Tucker-2015-07-24,2015-07-24,,,
7367,Operasjon Arktis-2015-07-24,2015-07-24,"53203,00","53203,00",
7368,Paris Opera Ballet: L'Histoire de Manon-2015-07-24,2015-07-24,"6371,00","6371,00",
7369,O Homem das MultidÃƒÂµes-2015-07-24,2015-07-24,"6339,00","6339,00",
7370,Momentum-2015-07-24,2015-07-24,"390167,00","390167,00",
7371,Nos futurs-2015-07-24,2015-07-24,"1035527,00","1035527,00",
7372,A Gay Girl in Damascus: The Amina Profile-2015-07-24,2015-07-24,,,
7373,Kartoffelsalat-2015-07-24,2015-07-24,"2727409,00","2727409,00",
7374,Frank the Bastard-2015-07-24,2015-07-24,,,
7375,Hermosa juventud-2015-07-24,2015-07-24,"14311,00","14311,00",
7376,Five Star-2015-07-24,2015-07-24,,,
7377,Une Estonienne ÃƒÂ  Paris-2015-07-24,2015-07-24,"52345,00","52345,00",
7378,Des Apaches-2015-07-24,2015-07-24,"74287,00","74287,00",
7379,Cavalo Dinheiro-2015-07-24,2015-07-24,"8254,00","1746,00","6508,00"
7380,Bonobos: Back to the Wild-2015-07-24,2015-07-24,,,
7381,The Price of Desire-2016-05-27,2016-05-27,"4314,00","4314,00",
7382,Dark Was the Night-2015-07-24,2015-07-24,,,
7383,Presenting Princess Shaw-2016-05-27,2016-05-27,,,"60197,00"
