,title,release_date,worldwide_box_office,international_box_office,domestic_box_office
78,Nuo Lietuvos nepabÃ„â€”gsi-2016-11-18,2016-11-18,"2465,00","2465,00",
79,Somewhere Connected-2016-12-09,2016-12-09,"19291,00","19291,00",
80,Lo peor de los deseos-2018-11-29,2018-11-29,,,
81,PÃƒÂ¨re fils thÃƒÂ©rapie!-2016-12-30,2016-12-30,"1453270,00","1453270,00",
82,Di Qiu Zui Hou De Ye Wang-2018-04-12,2018-04-12,"42140730,00","41619365,00","521365,00"
83,Doktor Martin: ZÃƒÂ¡hada v Beskydech-2018-12-07,2018-12-07,"31651,00","31651,00",
84,Battle of Tortoise and Rabbit-2018-12-30,2018-12-30,"1494779,00","1494779,00",
85,Alibaba The Three Golden Hair-2018-12-30,2018-12-30,"1476950,00","1476950,00",
86,Duan Pian Er-2018-12-29,2018-12-29,"7423443,00","7423443,00",
87,Yun Nan Chong Gu Yunnan Valley-2018-01-04,2018-01-04,"22369964,00","22268448,00","101516,00"
88,Two Small Pigs Brave The Mysterious Island-2018-12-30,2018-12-30,"744017,00","744017,00",
89,Trolled-2018-12-28,2018-12-28,"32834,00","32834,00",
90,Tiempo despuÃƒÂ©s-2018-12-28,2018-12-28,"1736358,00","1736358,00",
91,Stan & Ollie-2018-12-28,2018-12-28,"29062674,00","23592439,00","5470235,00"
92,The Work Wife-2018-12-28,2018-12-28,,,
93,Tarp mÃ…Â«sÃ…Â³ mergaiÃ„ï¿½iÃ…Â³-2018-12-28,2018-12-28,"666106,00","666106,00",
94,TrileÃƒÂ§e-2018-12-28,2018-12-28,"54,00","54,00",
95,Rio Mekong-2018-12-28,2018-12-28,"453,00","453,00",
96,Simmba-2018-12-28,2018-12-28,"7357518,00","2255389,00","5102129,00"
97,Pech to nie grzech-2018-12-28,2018-12-28,"2042938,00","2042938,00",
98,MÃƒÂ¼saadenizle BÃƒÂ¼yÃƒÂ¼kler-2018-12-28,2018-12-28,"45185,00","45185,00",
99,The Most Beautiful Season-2018-12-28,2018-12-28,"218412,00","218412,00",
100,Shou Ji Kuang Xiang-2018-12-28,2018-12-28,"94951615,00","94951615,00",
101,One Shot-2018-12-28,2018-12-28,"1127,00","1127,00",
102,Konna Yofuke Ni Banana Kayo: Kanashiki Jitsuwa-2018-12-28,2018-12-28,"8652004,00","8652004,00",
103,Njan Prakashan-2018-12-28,2018-12-28,"57375,00","57375,00",
104,Minha Vida em Marte-2018-12-28,2018-12-28,"21105636,00","21105636,00",
105,K.G.F: Chapter 1-2018-12-28,2018-12-28,"27179,00","27179,00",
