year;release_date;title;international_box_office;domestic_box_office;worldwide_box_office
2018;December 28th;TrileÃƒÂ§e;54,00;n/a;54,00
2018;December 28th;Rio Mekong;453,00;n/a;453,00
2018;December 28th;Simmba;2255389,00;5102129,00;7357518,00
2018;December 28th;Pech to nie grzech;2042938,00;n/a;2042938,00
2018;December 28th;MÃƒÂ¼saadenizle BÃƒÂ¼yÃƒÂ¼kler;45185,00;n/a;45185,00
2018;December 28th;The Most Beautiful Season;218412,00;n/a;218412,00
2018;December 28th;Shou Ji Kuang Xiang;94951615,00;n/a;94951615,00
2018;December 28th;One Shot;1127,00;n/a;1127,00
2018;December 28th;Konna Yofuke Ni Banana Kayo: Kanashiki Jitsuwa;8652004,00;n/a;8652004,00
2018;December 28th;Njan Prakashan;57375,00;n/a;57375,00
2018;December 28th;Minha Vida em Marte;21105636,00;n/a;21105636,00
2018;December 28th;K.G.F: Chapter 1;27179,00;n/a;27179,00
2018;December 28th;Der kleine Drache Kokosnuss - Auf in den Dschungel!;1866262,00;n/a;1866262,00
2018;December 28th;jeombaki hanbandoeui gongryong 2 saeroun nakwon;3783492,00;n/a;3783492,00
2018;December 28th;Chef;94,00;n/a;94,00
2018;December 28th;Benji;585333,00;n/a;585333,00
2018;December 27th;T-34;39526616,00;n/a;39526616,00
2018;December 28th;BÃƒÂ¶rÃƒÂ¼;1441948,00;n/a;1441948,00
2018;December 27th;Der Junge muss an die frische Luft;31920181,00;n/a;31920181,00
2018;December 27th;Yolki Posledniye;11499494,00;n/a;11499494,00
2018;December 28th;Cuando Brillan las Estrellas;2506,00;n/a;2506,00
2018;December 27th;Au bout des doigts;3712903,00;n/a;3712903,00
2018;December 26th;Un violent dÃƒÂ©sir de bonheur;;n/a;
2018;December 27th;La befana vien di notte;9166973,00;n/a;9166973,00
2018;January 4th;PMC: deo beong-keo;12478635,00;n/a;12478635,00
2018;December 27th;Moschettieri del Re - La penultima missione;5728962,00;n/a;5728962,00
2018;December 22nd;Mult v. Kino Vypusk No. 87;100689,00;n/a;100689,00
2018;July 19th;L'homme fidÃƒÂ¨le;1861933,00;77776,00;1939709,00
2018;January 11th;Perfectos desconocidos;6880839,00;1014507,00;7895346,00
2018;December 21st;Zerk;8785,00;n/a;8785,00
2018;December 25th;Destroyer;4332165,00;1533324,00;5865489,00
2018;December 21st;Zero;1995127,00;n/a;1995127,00
2018;December 21st;YanÃ„Â±mda Kal;69938,00;n/a;69938,00
2018;April 12th;Ye Wen hui chuan: Zhang Tianzhi;19572493,00;209454,00;19781947,00
2018;April 12th;Mia et le lion blanc;33899357,00;400498,00;34299855,00
2018;December 21st;Wu Lin Guai Shou;11573104,00;n/a;11573104,00
2018;December 22nd;Kamen RaidÃƒÂ¢ Heisei JenerÃƒÂªshonzu FoebÃƒÂ¢;12465928,00;n/a;12465928,00
2018;December 21st;Welcome to Marwen;2322617,00;10763520,00;13086137,00
2018;December 21st;Vergara;3695,00;n/a;3695,00
2018;December 25th;Vice;23057500,00;47836282,00;70893782,00
