year;release_date;title;international_box_office;domestic_box_office;worldwide_box_office
2018;October 19th;In viaggio con Adele;49924,00;n/a;49924,00
2018;October 19th;Hovory s TGM;119127,00;n/a;119127,00
2018;October 19th;High Voltage;;n/a;
2018;October 19th;Una gita a Roma;37287,00;n/a;37287,00
2018;October 19th;Hello Guru Prema Kosame;6243,00;n/a;6243,00
2018;October 19th;Funny Girl;819871,00;n/a;819871,00
2018;October 19th;An Evening With Beverly Luff Linn;15885,00;n/a;15885,00
2018;December 1st;Elliot: The Littlest Reindeer;1391586,00;n/a;1391586,00
2018;October 19th;Fail State;;n/a;
2018;April 8th;Donbass;68031,00;n/a;68031,00
2018;October 19th;Destierros;3926,00;n/a;3926,00
2018;October 19th;Departure Along the Sea;35259,00;n/a;35259,00
2018;October 19th;Desenterrando Sad Hill;32762,00;n/a;32762,00
2018;October 19th;Change in the Air;;n/a;
2018;October 19th;La casa del eco;1632,00;n/a;1632,00
2018;October 19th;Can You Ever Forgive Me?;3713514,00;8803865,00;12517379,00
2018;October 19th;Caniba;;n/a;
2018;October 19th;Brewmaster;;n/a;
2018;October 19th;Barbacana, la huella del lobo;46389,00;n/a;46389,00
2018;October 19th;BramptonÃ¢â‚¬â„¢s Own;;n/a;
2017;October 20th;Otra madre;890,00;n/a;890,00
2018;October 19th;Big Kill;1469,00;n/a;1469,00
2017;October 20th;Only the Brave;6215126,00;18340051,00;24555177,00
2018;December 14th;CafarnaÃƒÂºm;63573085,00;1660708,00;65233793,00
2017;October 20th;Open Fire;346515,00;n/a;346515,00
2017;October 20th;No Ordinary Sheila;259821,00;n/a;259821,00
2017;October 20th;Nightworld;;n/a;
2017;October 20th;Les nouvelles aventures de Cendrillon;6466643,00;n/a;6466643,00
2017;October 20th;Never Here;;n/a;
2017;October 20th;NecronomicÃƒÂ³n;7617,00;n/a;7617,00
2017;October 20th;Ni Ruo An Hao;1706807,00;n/a;1706807,00
2017;October 20th;Mersal;2168812,00;n/a;2168812,00
2017;October 20th;Mix;15224207,00;n/a;15224207,00
2017;October 20th;Liu Nian Liu Tian;1785824,00;n/a;1785824,00
2017;October 20th;Knock;5180023,00;n/a;5180023,00
2017;October 20th;Kong Bu Dian Ying Yuan 2;386634,00;n/a;386634,00
2017;October 20th;The Killing of a Sacred Deer;3824019,00;2291900,00;6115919,00
2017;October 20th;Let Her Out;;n/a;
2017;October 20th;Jung Il-woo, My Friend;68548,00;n/a;68548,00
2017;October 20th;Ã„Â°lk Ãƒâ€“pÃƒÂ¼cÃƒÂ¼k;339792,00;n/a;339792,00
2017;October 20th;Jane;232704,00;1723379,00;1956083,00
2017;October 20th;Keng Die You Xi;263745,00;n/a;263745,00
2017;September 7th;I am Not a Witch;109616,00;50868,00;160484,00
2017;October 20th;Hu Yang De Xia Tian;686594,00;n/a;686594,00
2017;October 20th;Handia;897136,00;n/a;897136,00
2017;October 20th;Heal;;12668,00;
2016;November 11th;Last Testimony;5167,00;n/a;5167,00
2016;August 25th;La larga noche de Francisco Sanctis;22537,00;n/a;22537,00
2016;November 11th;Lazy Eye;;n/a;
2016;August 11th;Kono sekai no katasumi ni;19794935,00;n/a;19794935,00
2016;November 11th;Lahore Se Aagey;20853,00;n/a;20853,00
2016;November 11th;Khoroshiy Malchik;1237292,00;n/a;1237292,00
2016;November 11th;IMT Smile and LÃƒÂºÃ„ï¿½nica - Made in Slovakia;36253,00;n/a;36253,00
2016;November 11th;Iron Moon;;n/a;
2016;November 18th;I Am not Madame Bovary;70403856,00;436798,00;70840654,00
2016;November 18th;The History of Love;476624,00;n/a;476624,00
2016;November 11th;Jian Fa Ren Sheng;40032,00;n/a;40032,00
2016;November 11th;Guido Models;1660,00;n/a;1660,00
2016;November 11th;Hija ÃƒÂºnica;2949,00;n/a;2949,00
2016;November 11th;Hacienda Classical: The Classical Rave;1338,00;n/a;1338,00
2016;November 11th;The Legend Of Ben Hall;89570,00;n/a;89570,00
2016;November 11th;Las Furias;102417,00;n/a;102417,00
2016;November 11th;The FiancÃƒÂ©;;23986,00;
2016;November 11th;Ella;9678,00;n/a;9678,00
2016;November 11th;Duo Lu Er Tao;345604,00;n/a;345604,00
2016;November 11th;Dum Laga Ke Haisha;3064,00;n/a;3064,00
2016;November 11th;Egon Schiele: Tod und MÃƒÂ¤dchen;564954,00;n/a;564954,00
2016;November 11th;Dreamland;;n/a;
2018;October 19th;Bao Bei Er;3576269,00;n/a;3576269,00
2018;October 19th;Argentina animada;784,00;n/a;784,00
2016;November 11th;Don't Look Down;;n/a;
2018;October 19th;Animales sin collar;79645,00;n/a;79645,00
2018;October 19th;All Inclusive;6559825,00;n/a;6559825,00
2018;October 19th;Badhaai Ho;618588,00;n/a;618588,00
2018;October 19th;The Advocates;;10402,00;
2018;October 19th;Aate Di Chidi;71912,00;n/a;71912,00
2018;October 18th;SuperBobrovy. Narodnye mstiteli;2879785,00;n/a;2879785,00
2018;October 18th;Small Group;;n/a;
2018;October 18th;Si Yo Fuera TÃƒÂº;1009826,00;n/a;1009826,00
2018;October 19th;Wildlife;2703923,00;1050616,00;3754539,00
2018;October 18th;Vechnaya zhizn Aleksandra Khristoforova;327103,00;n/a;327103,00
2018;October 18th;Baebanui Jangmi;297297,00;n/a;297297,00
2018;October 18th;Let's go;161474,00;n/a;161474,00
2018;October 17th;Horn From the Heart: The Paul Butterfield Story;;58597,00;
2018;October 17th;Wine Calling;648,00;n/a;648,00
2018;October 18th;Nessuno come noi;512051,00;n/a;512051,00
2018;October 17th;GaÃ¢â‚¬â„¢agua;48468,00;n/a;48468,00
2018;October 19th;Halloween;96050074,00;159366015,00;255416089,00
2018;October 13th;Mult v. Kino Vypusk No. 82;107037,00;n/a;107037,00
2018;October 13th;The Toxic Avenger: The Musical;6593,00;n/a;6593,00
2018;October 12th;Yol ArkadaÃ…Å¸Ã„Â±m 2;5252195,00;n/a;5252195,00
2018;October 17th;Le Flic de Belleville;8126380,00;n/a;8126380,00
2018;October 12th;Zwaar Verliefd!;2344288,00;n/a;2344288,00
2018;October 12th;Voyez comme on danse;3191370,00;n/a;3191370,00
2017;October 20th;Ferrari 312B: Where the revolution begins;28198,00;n/a;28198,00
2017;October 20th;Golmaal Again;32982370,00;1013893,00;33996263,00
2017;October 20th;DidÃ…Â¾iapÃ„â€”dÃ…Â¾io vaikas;265855,00;n/a;265855,00
2017;October 20th;Deep in My Heart;10526,00;n/a;10526,00
2017;March 9th;The Death of Stalin;12393254,00;8047856,00;20441110,00
2017;October 20th;Czlowiek z magicznym pudelkiem;;n/a;
2017;October 20th;Dealt;;30414,00;
2017;October 20th;Damat TakÃ„Â±mÃ„Â±;705049,00;n/a;705049,00
2017;October 20th;Everyday Hero;73772,00;n/a;73772,00
2017;October 20th;Code Geass Lelouch Of The Rebellion Movie 1;639846,00;n/a;639846,00
2017;October 20th;Cinema Live: Carmen On The Lake;5691,00;n/a;5691,00
2017;October 20th;Brutti e Cattivi;573695,00;n/a;573695,00
2017;October 20th;Bolshoi Ballet: Le Corsaire;117284,00;n/a;117284,00
2017;October 20th;BÃƒÂ¶lÃƒÂ¼k;731767,00;n/a;731767,00
2017;October 20th;Butterfly Cemetery;492189,00;n/a;492189,00
2017;October 20th;Bad Day for the Cut;1509,00;n/a;1509,00
2017;October 20th;BajkeÃ…â„¢i;1182335,00;n/a;1182335,00
2017;November 2nd;The Ballad of Shirley Collins;25484,00;n/a;25484,00
2017;October 20th;Anida y el Circo Flotante;4264,00;n/a;4264,00
2016;November 11th;Desingle Bible;8940,00;n/a;8940,00
2017;October 20th;The Bachelors;102304,00;n/a;102304,00
2016;November 11th;Come and Find Me;4052,00;n/a;4052,00
2016;November 11th;Chaar Sahibzaade 2: Rise of Banda Singh Bahadur;580554,00;700723,00;1281277,00
2016;November 11th;The Bride with Painted Skin;645256,00;n/a;645256,00
2016;November 11th;Bremen Town Robbers;615277,00;n/a;615277,00
2016;November 11th;El CaÃƒÂ­do del Cielo;1514,00;n/a;1514,00
2016;November 11th;Benim AdÃ„Â±m Feridun;646617,00;n/a;646617,00
2016;November 11th;Australian Ballet: Cinderella;24582,00;n/a;24582,00
2016;November 11th;Como una novia sin sexo;4314,00;n/a;4314,00
2016;November 11th;Bollywood Made in Spain;2160,00;n/a;2160,00
2016;November 11th;Achcham Yenbadhu Madamaiyada;113290,00;n/a;113290,00
2016;November 11th;Anomalous;8462,00;n/a;8462,00
2016;January 13th;100 Streets;307,00;n/a;307,00
2016;November 11th;Almost Christmas;428321,00;42065185,00;42493506,00
2016;November 10th;ÃƒÅ¡ltima carta desde la revoluciÃƒÂ³n;;n/a;
2016;June 5th;Yourself and Yours;166089,00;n/a;166089,00
2016;November 10th;Poor Rich Dad;831655,00;n/a;831655,00
2016;November 11th;The Anthropologist;;n/a;
2016;November 10th;Macho;1551052,00;n/a;1551052,00
2016;November 10th;Fai bei sogni;1882413,00;n/a;1882413,00
2016;November 10th;Je-ja Ok-han-heum 2 - Je-ja-do;56062,00;n/a;56062,00
2016;November 10th;El;;n/a;
2018;October 12th;Tumbbad;;n/a;
2018;October 12th;Tudo por um Pop Star;3960475,00;n/a;3960475,00
2018;October 12th;Uchu no Ho: Reimei-hen;5937936,00;n/a;5937936,00
2018;October 12th;TieÃ…Ë† JaguÃƒÂ¡ra;3334,00;n/a;3334,00
2018;October 12th;Te Juro que yo no fui;1247627,00;n/a;1247627,00
2016;November 9th;Ma Famille TÃ¢â‚¬â„¢Adore DÃƒÂ©jÃƒ;3947091,00;n/a;3947091,00
2018;October 26th;Suspiria;4539820,00;2483472,00;7023292,00
2018;October 12th;Superjuffie;2370537,00;n/a;2370537,00
2018;December 17th;They Shall Not Grow Old;3021370,00;17956913,00;20978283,00
2018;October 12th;Son Of Manjeet Singh;40680,00;n/a;40680,00
2018;October 12th;StellaÃ¢â‚¬â„¢s Last Weekend;;4215,00;
2018;October 12th;La Sombra de la ley;1615031,00;n/a;1615031,00
2018;July 19th;Rosie;179147,00;6839,00;185986,00
2018;October 12th;Sadie;;n/a;
2018;October 12th;Royal Opera House: Mayerling;495114,00;n/a;495114,00
2018;October 12th;Ã‚Â¿QuÃƒÂ© puede pasar?;10602,00;n/a;10602,00
2018;October 12th;Sink;3186,00;n/a;3186,00
2018;October 12th;Pili;441,00;n/a;441,00
2018;October 12th;RafaÃƒÂ«l;63312,00;n/a;63312,00
2018;October 12th;One Less God;14251,00;n/a;14251,00
2018;October 12th;Nichinichi Kore KÃƒÂ´jitsu;9572288,00;n/a;9572288,00
2018;November 20th;O Caderno Negro;11017,00;n/a;11017,00
2017;October 20th;AidaÃ¢â‚¬â„¢s Secrets;;98468,00;
2017;October 20th;Ach Spij Kochanie;539932,00;n/a;539932,00
2018;October 12th;The Oath;2389,00;401464,00;403853,00
2017;October 20th;Access All Areas;1346,00;n/a;1346,00
2018;October 12th;#Odindenleta;3356,00;n/a;3356,00
2017;October 19th;1804: The Hidden History of Haiti;;n/a;
2017;March 23rd;Aala Kaf Ifrit;145569,00;7263,00;152832,00
2017;October 11th;Daejang Kimchangsu;2689769,00;n/a;2689769,00
2017;October 17th;Buradeo;10910056,00;n/a;10910056,00
2017;October 17th;Gaeul Ucheguk;19109,00;n/a;19109,00
2017;October 13th;Uchuu Senkan Yamato 2202 Chapter 1;417770,00;n/a;417770,00
2017;October 13th;What if it Works;16313,00;n/a;16313,00
2017;October 17th;Mify;903997,00;n/a;903997,00
2017;October 13th;TaÃ…Å¸;3154,00;n/a;3154,00
2017;November 17th;Wonder;179446086,00;132422809,00;311868895,00
2017;October 13th;Thy FatherÃ¢â‚¬â„¢s Chair;;n/a;
2017;October 13th;Swing Away;;n/a;
2017;October 13th;Wasted! The Story of Food Waste;9520,00;25865,00;35385,00
2017;October 13th;Surviving Peace;;n/a;
2017;October 13th;Sinterklaas & Het Gouden Hoefijzer;1325017,00;n/a;1325017,00
2017;October 13th;Spievankovo a KrÃƒÂ¡Ã„Â¾ovnÃƒÂ¡ HarmÃƒÂ³nia;510050,00;n/a;510050,00
2017;October 13th;The Soviet Revolution Told Through its Cinema;1551,00;n/a;1551,00
2017;April 6th;Sweet Country;2205989,00;85556,00;2291545,00
2017;October 13th;Shi Ba Dong Cun;16444489,00;n/a;16444489,00
2016;November 9th;DerniÃƒÂ¨res nouvelles du cosmos;;n/a;
2016;November 9th;Che vuoi che sia;1728954,00;n/a;1728954,00
2016;November 11th;Billy LynnÃ¢â‚¬â„¢s Long Halftime Walk;28491925,00;1738477,00;30230402,00
2016;November 5th;Yeon ae dam;178812,00;n/a;178812,00
2016;November 4th;Za niebieskimi drzwiami;322593,00;n/a;322593,00
2016;November 4th;Xiao Lin Zu Qiu;123459,00;n/a;123459,00
2016;November 4th;You've Been Trumped Too;6629,00;n/a;6629,00
2016;November 4th;Willkommen bei den Hartmanns;28023741,00;n/a;28023741,00
2016;November 4th;Vzlomat blogerov;120507,00;n/a;120507,00
2017;October 13th;SeÃƒÂ±ora haidi;8468,00;n/a;8468,00
2016;November 4th;ÃÅ“ÃÅ¾Ãâ€ºÃÅ¾ÃÂ¢;1465048,00;n/a;1465048,00
2016;November 4th;What Happened Last Night;;9244,00;
2016;November 11th;Arrival;102317164,00;100546139,00;202863303,00
2016;November 4th;Stagecoach: The Texas Jack Story;;n/a;
2016;November 4th;Sheng Xian Sheng De Hua Er;89372,00;n/a;89372,00
2016;November 18th;A Street Cat Named Bob;17299990,00;82703,00;17382693,00
2016;November 4th;See-Saw;68042,00;n/a;68042,00
2016;April 28th;Rupture;14866,00;n/a;14866,00
2016;March 8th;Revolution - New Art for a New World;21350,00;n/a;21350,00
2016;November 4th;PohÃƒÂ¡dky pro Emu;456373,00;n/a;456373,00
2016;April 14th;RÃƒÂ©parer les vivants;2195364,00;3176,00;2198540,00
2016;November 4th;The Shadow;41139,00;n/a;41139,00
2016;November 4th;Pulimurugan;136353,00;n/a;136353,00
2018;October 12th;Ni TÃƒÂº Ni Yo;432691,00;n/a;432691,00
2016;November 4th;Pojkarna;2568,00;n/a;2568,00
2018;October 12th;Medvedi Kamchatki. Nachalo zhizni;122576,00;n/a;122576,00
2018;October 12th;Make Me Up;8660,00;n/a;8660,00
2018;April 26th;Marilyn;7291,00;n/a;7291,00
2016;November 4th;Pettersson und Findus 2 - Das schÃƒÂ¶nste Weihnachten ÃƒÂ¼berhaupt;3601448,00;n/a;3601448,00
2018;October 12th;Kinky;;n/a;
2018;October 12th;Lucha de Gigantes;181,00;n/a;181,00
2018;October 12th;The Kindergarten Teacher;552188,00;n/a;552188,00
2018;October 12th;Jane and Emma;;380017,00;
2018;January 25th;In Like Flynn;43922,00;n/a;43922,00
2018;October 12th;The Importance of Being Earnest;492771,00;n/a;492771,00
2018;October 12th;Look Away;806783,00;n/a;806783,00
2018;October 12th;In Echo Park;;7072,00;
2018;October 12th;Helicopter Eela;50881,00;71971,00;122852,00
2018;October 12th;HÃƒÂ¶lmÃƒÂ¶ nuori sydÃƒÂ¤n;;n/a;
2018;October 12th;Hasta que me desates;701,00;n/a;701,00
2018;October 12th;Gosnell: The Trial of AmericaÃ¢â‚¬â„¢s Biggest Serial Killer;;3679893,00;
2018;October 12th;Gofmaniada;32804,00;n/a;32804,00
2018;October 19th;Galveston;190320,00;n/a;190320,00
2018;October 4th;Dilili ÃƒÂ  Paris;5138843,00;n/a;5138843,00
2018;October 12th;Cliff Richard Live: 60th Anniversary Tour;1685891,00;n/a;1685891,00
2018;October 12th;En peligro;493,00;n/a;493,00
2017;October 13th;San Bian;1689967,00;n/a;1689967,00
2017;October 13th;Revolting Rhymes Part One and Two;277613,00;n/a;277613,00
2018;October 12th;Familia sumergida;11565,00;n/a;11565,00
2017;October 13th;The Ritual;1786396,00;n/a;1786396,00
2017;October 13th;Ranchi Diaries;112852,00;n/a;112852,00
2017;October 13th;Rodnye;3321,00;n/a;3321,00
2017;October 13th;Qing Yu Man Ha Dun;2022609,00;n/a;2022609,00
2017;October 13th;Raju Gari Gadhi 2;30876,00;n/a;30876,00
2017;October 13th;Los Perros;73851,00;n/a;73851,00
2017;October 13th;Professor Marston & The Wonder Women;323063,00;1585362,00;1908425,00
2017;October 13th;Oxidan;15323,00;n/a;15323,00
2017;October 13th;My Godmother;42388,00;n/a;42388,00
2017;October 13th;Monogamish;;n/a;
2017;October 13th;NumÃƒÂ©ro une;1173294,00;n/a;1173294,00
2017;October 13th;Mi MamÃƒÂ¡ Lora;1661,00;n/a;1661,00
2017;October 13th;Met Opera: Die Zauberflote;344348,00;n/a;344348,00
2017;October 13th;MeÃ„ï¿½iar;84387,00;n/a;84387,00
2017;October 13th;Parava;10031,00;n/a;10031,00
2017;October 13th;Mater;5519,00;n/a;5519,00
2017;October 13th;The Lost Tree;;n/a;
2017;October 13th;Marshall;65157,00;10051659,00;10116816,00
2017;October 13th;The Man From Earth: Holocene;;n/a;
2016;November 4th;Peter and the Farm;;18123,00;
2016;November 4th;Off the Rails;;34249,00;
2017;October 13th;Matar a JesÃƒÂºs;1012,00;n/a;1012,00
2017;October 13th;M.F.A.;;n/a;
2016;November 4th;Oboreru naifu;5895838,00;n/a;5895838,00
2016;November 4th;Non si ruba a casa dei ladri;2359647,00;n/a;2359647,00
2016;March 31st;La Mort de Louis XIV;166067,00;43635,00;209702,00
2016;November 18th;Nocturnal Animals;21735324,00;10663357,00;32398681,00
2016;November 4th;The Perfect Weapon;;n/a;
2016;November 4th;Mumford & Sons Live from South Africa: Dust & Thunder;11308,00;n/a;11308,00
2016;November 4th;Looking for the Holy Land;95549,00;n/a;95549,00
2016;November 4th;Making Family;977337,00;n/a;977337,00
2016;November 4th;Loving;5187830,00;7710234,00;12898064,00
2016;November 4th;Jestem morderca;578768,00;n/a;578768,00
2016;November 4th;The Ivory Game;105,00;n/a;105,00
2016;November 4th;Km31-2;1816401,00;n/a;1816401,00
2016;November 4th;Kid Kulafu;131,00;n/a;131,00
2016;November 4th;Kong Bu Bi Ji;331519,00;n/a;331519,00
2016;November 4th;Hi Jack;3996,00;n/a;3996,00
2016;November 4th;La Historia de Jan;26887,00;n/a;26887,00
2016;November 4th;Hide and Seek;10315084,00;n/a;10315084,00
2016;November 4th;Ginga Kikoutai Majestic Prince Movie: Kakusei no Idenshi;;n/a;
2016;November 4th;Gui Zhou;4292,00;n/a;4292,00
2016;November 4th;Istochnik;9134,00;n/a;9134,00
2016;November 4th;Feeling Lucky;219,00;n/a;219,00
2018;October 12th;La BohÃƒÂ©me on Sydney Harbour;29408,00;n/a;29408,00
2018;October 12th;Bigger;3811,00;46382,00;50193,00
2018;October 12th;Charm City;;29335,00;
2018;October 12th;Better Start Running;;n/a;
2018;October 12th;Beautiful Boy;5679795,00;7634767,00;13314562,00
2018;January 11th;Ashes in the Snow;1558395,00;n/a;1558395,00
2018;October 12th;All Square;;n/a;
2016;November 4th;GeniÃ…Å¸ Aile 2: Her TÃƒÂ¼rlÃƒÂ¼;607170,00;n/a;607170,00
2018;October 12th;L'amour flou;1417537,00;n/a;1417537,00
2018;October 12th;Aravinda Sametha Veera Raghava;231489,00;n/a;231489,00
2018;October 12th;After Everything;2220,00;n/a;2220,00
2018;October 12th;9 Doigts;329,00;n/a;329,00
2018;October 12th;7 UczuÃ„â€¡;4636694,00;n/a;4636694,00
2018;October 11th;Wu Ye You Ling;475322,00;n/a;475322,00
2018;October 11th;Misseubaek;5324020,00;n/a;5324020,00
2018;October 11th;Holiday;2671,00;n/a;2671,00
2018;October 12th;Abgeschnitten;1228051,00;n/a;1228051,00
2018;October 11th;La fuitina sbagliata;992070,00;n/a;992070,00
2018;October 11th;Bez menya;1671700,00;n/a;1671700,00
2018;October 10th;Niet schieten;;n/a;
2018;October 11th;Gas holder Klubare;582909,00;n/a;582909,00
2018;May 3rd;Dead Trigger;92321,00;n/a;92321,00
2018;October 10th;Liyana;;44045,00;
2018;October 11th;1938 Diversi;28611,00;n/a;28611,00
2017;October 13th;Kak Vitka Chesnok vyoz Lyokhu Shtyrya v dom invalidov;99117,00;n/a;99117,00
2017;October 13th;Last Night;20048,00;n/a;20048,00
2017;October 13th;Liefde is Aardappelen;21042,00;n/a;21042,00
2017;October 13th;Kayseri AslanÃ„Â±: Ãƒâ€¡in Ã„Â°Ã…Å¸i;24978,00;n/a;24978,00
2017;October 13th;Innocent;;n/a;
2017;October 13th;The Great Guys;14955,00;n/a;14955,00
2017;October 13th;Koi to uso;223574,00;n/a;223574,00
2017;October 13th;El Futuro que Viene;38398,00;n/a;38398,00
2017;October 13th;For Ahkeem;;23136,00;
2017;October 13th;Haze;;n/a;
2017;October 13th;Dwie Korony;481896,00;n/a;481896,00
2017;October 20th;Geostorm;187095849,00;33700160,00;220796009,00
2017;September 7th;L'ÃƒÂ©cole buissonniÃƒÂ¨re;14874207,00;6300,00;14880507,00
2017;October 13th;Double Date;44475,00;n/a;44475,00
2017;October 13th;Delicia;2994,00;n/a;2994,00
2017;October 13th;The Departure;;24661,00;
2017;October 13th;Fate Stay/night: HeavenÃ¢â‚¬â„¢s Feel I. Presage Flower;17236320,00;n/a;17236320,00
2017;August 3rd;A Floresta das Almas Perdidas;1498,00;n/a;1498,00
2017;October 13th;Da Shou Qian Xiao Shou;14667,00;n/a;14667,00
2017;January 12th;Condorito: La Pelicula;6699289,00;447719,00;7147008,00
2016;November 4th;Favio: CrÃƒÂ³nica de un Director;3596,00;n/a;3596,00
2017;October 13th;Danger Doctor Jelly;11106,00;n/a;11106,00
2017;October 13th;Como se Tornar o Pior Aluno da Escola;1971484,00;n/a;1971484,00
2016;November 4th;Dog Eat Dog;219319,00;n/a;219319,00
2016;November 4th;Twenty Again;68689,00;n/a;68689,00
2016;November 4th;El Destierro;5392,00;n/a;5392,00
2016;November 4th;DaÃ„Å¸ 2;11378898,00;n/a;11378898,00
2016;November 4th;The Darkest Universe;2858,00;n/a;2858,00
2016;November 4th;Crd;7790,00;n/a;7790,00
2016;November 4th;CampaÃƒÂ±a antiargentina;8271,00;n/a;8271,00
2016;November 4th;The Charnel House;;6332,00;
2016;November 4th;Cesta ven;9364,00;n/a;9364,00
2016;November 4th;The Bright Stream - Bolshoi 2016;71958,00;n/a;71958,00
2016;November 4th;Boku no Tsuma to Kekkon Shite Kudasai;2532057,00;n/a;2532057,00
2016;November 4th;Bu Li Bu Qi;54903,00;n/a;54903,00
2016;November 4th;Army Of One;355210,00;n/a;355210,00
2016;November 4th;100 Metros;2088883,00;n/a;2088883,00
2016;November 4th;7 Minuti;595388,00;n/a;595388,00
2016;November 4th;Yi ju ding yi wan ju;3000904,00;n/a;3000904,00
2016;November 4th;A Toca do Lobo;8600,00;n/a;8600,00
2016;November 3rd;Trash Fire;;n/a;
2016;November 3rd;La pelle dell'orso;98714,00;n/a;98714,00
2016;November 3rd;Mot Naturen;2948,00;n/a;2948,00
2016;November 3rd;My Dead Boyfriend;;n/a;
2016;November 4th;Hacksaw Ridge;101814311,00;67209615,00;169023926,00
2018;October 10th;22.июль;;n/a;
2018;October 12th;First Man;60766780,00;44936545,00;105703325,00
2018;October 9th;Planet Dinosaur;296118,00;n/a;296118,00
2018;October 12th;Goosebumps 2: Haunted Halloween;46594157,00;46697321,00;93291478,00
2018;October 6th;Badass Beauty Queen: The Story of Anastasia Lin;;n/a;
2018;October 5th;Wobble Palace;;n/a;
2018;October 7th;Macbeth;29458,00;n/a;29458,00
2018;October 5th;Viking Destiny;;n/a;
2018;October 5th;Viaje al cuarto de una madre;148997,00;n/a;148997,00
2018;October 5th;We're Going on a Bear Hunt;377759,00;n/a;377759,00
2018;October 5th;Ufc 229: Khabib Vs. Mcgregor;91090,00;n/a;91090,00
2018;October 7th;Mult v. Kino: Vypusk No. 81;100048,00;n/a;100048,00
2018;October 5th;Ying Jiu Wang Xing Ren;285872,00;n/a;285872,00
2018;October 5th;Toman;636307,00;n/a;636307,00
2018;October 5th;ÃƒÅ“ÃƒÂ§ Harflilerin Musallat Oldugu BÃƒÂ¼yÃƒÂ¼lÃƒÂ¼ Konakta Ruh Ãƒâ€¡agiran GenÃƒÂ§lerin Hazin Hikayesi;9373,00;n/a;9373,00
2018;October 5th;Strangeways Here We Come;3473,00;n/a;3473,00
2018;October 5th;Trouble;;n/a;
2018;October 5th;Shine;;333388,00;
2018;October 26th;The School;39824,00;n/a;39824,00
2018;October 5th;Serce nie sluga;3254769,00;n/a;3254769,00
2018;October 5th;A Star is Born;216581657,00;215288866,00;431870523,00
2017;October 13th;Ã‚Â¿CÃƒÂ³mo Cortar a Tu Patan?;5607900,00;n/a;5607900,00
2017;October 13th;CoeXister;5295130,00;n/a;5295130,00
2017;October 13th;Carving a Life;;n/a;
2018;October 5th;Sokak SÃ„Â±nÃ„Â±fÃ„Â±;4057,00;n/a;4057,00
2017;October 13th;CingÃƒÂ¶z Recai: Bir Efsanenin DÃƒÂ¶nÃƒÂ¼Ã…Å¸ÃƒÂ¼;1986267,00;n/a;1986267,00
2017;October 13th;Breathe;4379141,00;489322,00;4868463,00
2017;October 13th;The Butterfly Tree;9933,00;n/a;9933,00
2017;October 13th;Blue;103208,00;n/a;103208,00
2017;October 13th;Blue;175171,00;n/a;175171,00
2017;October 13th;Blood Money;8270,00;n/a;8270,00
2017;October 13th;Bir Nefes Yeter;116587,00;n/a;116587,00
2017;October 13th;Barbie: Dolphin Magic;738874,00;n/a;738874,00
2017;November 10th;Bitch;689,00;n/a;689,00
2017;October 13th;The Babysitter;404923,00;n/a;404923,00
2017;October 13th;Bad Lucky Goat;;5088,00;
2017;October 13th;Bad Blood;7881,00;n/a;7881,00
2017;October 13th;B&B;;n/a;
2017;March 23rd;LÃ¢â‚¬â„¢atelier;959087,00;20590,00;979677,00
2017;October 13th;American Satan;;226232,00;
2017;October 13th;Alles Voor Elkaar;443007,00;n/a;443007,00
2017;October 13th;AlguÃƒÂ©m Como Eu;207358,00;n/a;207358,00
2017;October 13th;8 Hlav SÃƒÂ­lenstvÃƒÂ­;4962,00;n/a;4962,00
2016;November 3rd;Vanishing Time: A Boy Who Returned;3655624,00;n/a;3655624,00
2016;November 3rd;Exhibition On Screen: The Curious World Of Hieronymus Bosch;141832,00;n/a;141832,00
2017;October 13th;Aqours 2nd Love Live! Happy Party Train Tour;22864,00;n/a;22864,00
2016;November 3rd;AlbÃƒÂ¼m;12261,00;n/a;12261,00
2016;November 2nd;The Eagle Huntress;2462577,00;3168664,00;5631241,00
2016;November 1st;Swing State;;n/a;
2016;November 3rd;Een echte Vermeer;114869,00;n/a;114869,00
2016;November 1st;All Governments Lie: Truth, Deception, and the Spirit of I.F. Stone;;n/a;
2016;November 1st;La Folle Histoire De Max Et LÃƒÂ©on;8912003,00;n/a;8912003,00
2016;October 28th;Yu Ying Shi;1155756,00;n/a;1155756,00
2016;October 30th;Crone Wood;;n/a;
2016;October 28th;The Windmill Massacre;94055,00;n/a;94055,00
2016;October 28th;Wild Goose Lodge;47288,00;n/a;47288,00
2016;October 31st;Yi sap gau gaa yat;268027,00;n/a;268027,00
2016;October 28th;The Unspoken;126668,00;n/a;126668,00
2016;October 28th;TenkrÃƒÂ¡t v rÃƒÂ¡ji;108771,00;n/a;108771,00
2016;October 28th;Xiaoming And His Friends;1530000,00;n/a;1530000,00
2016;October 28th;Tamara;5595545,00;n/a;5595545,00
2016;February 10th;A United Kingdom;7193835,00;3902185,00;11096020,00
2016;October 28th;Starfish;38955,00;n/a;38955,00
2016;October 28th;Smetto Quando Voglio;57083,00;n/a;57083,00
2018;October 5th;Ride;;n/a;
2016;October 28th;Shivaay;323726,00;n/a;323726,00
